Country,Value,Wellbeing_Level,Wellbeing_Index
Australia,7.3,High,3
Austria,6.9,Medium,2
Belgium,6.9,Medium,2
Canada,7.3,High,3
Czech Republic,6.5,Medium,2
Denmark,7.5,High,3
Finland,7.4,High,3
France,6.5,Medium,2
Germany,7.0,High,3
Greece,4.8,Low,1
Hungary,4.9,Low,1
Iceland,7.5,High,3
Ireland,7.0,High,3
Italy,6.0,Medium,2
Japan,5.9,Medium,2
Korea,5.8,Medium,2
Luxembourg,6.9,Medium,2
Mexico,6.7,Medium,2
Netherlands,7.3,High,3
New Zealand,7.3,High,3
Norway,7.4,High,3
Poland,5.8,Medium,2
Portugal,5.1,Medium,2
Slovak Republic,6.1,Medium,2
Spain,6.5,Medium,2
Sweden,7.2,High,3
Switzerland,7.5,High,3
Turkey,5.6,Medium,2
United Kingdom,6.8,Medium,2
United States,7.2,High,3
Brazil,7.0,High,3
Chile,6.7,Medium,2
Estonia,5.6,Medium,2
Israel,7.4,High,3
Russia,6.0,Medium,2
Slovenia,5.7,Medium,2
OECD - Total,6.6,Medium,2
Australia,7.2,High,3
Austria,6.9,Medium,2
Belgium,6.8,Medium,2
Canada,7.3,High,3
Czech Republic,6.5,Medium,2
Denmark,7.6,High,3
Finland,7.2,High,3
France,6.4,Medium,2
Germany,6.9,Medium,2
Greece,4.6,Low,1
Hungary,5.1,Medium,2
Iceland,7.4,High,3
Ireland,7.0,High,3
Italy,6.2,Medium,2
Japan,5.7,Medium,2
Korea,5.5,Medium,2
Luxembourg,6.9,Medium,2
Mexico,6.6,Medium,2
Netherlands,7.3,High,3
New Zealand,7.3,High,3
Norway,7.3,High,3
Poland,5.7,Medium,2
Portugal,5.1,Medium,2
Slovak Republic,6.1,Medium,2
Spain,6.4,Medium,2
Sweden,7.2,High,3
Switzerland,7.5,High,3
Turkey,5.4,Medium,2
United Kingdom,6.8,Medium,2
United States,7.1,High,3
Brazil,7.0,High,3
Chile,6.7,Medium,2
Estonia,5.6,Medium,2
Israel,7.5,High,3
Russia,6.1,Medium,2
Slovenia,5.7,Medium,2
OECD - Total,6.5,Medium,2
Australia,7.4,High,3
Austria,7.0,High,3
Belgium,6.9,Medium,2
Canada,7.3,High,3
Czech Republic,6.5,Medium,2
Denmark,7.5,High,3
Finland,7.5,High,3
France,6.5,Medium,2
Germany,7.0,High,3
Greece,4.9,Low,1
Hungary,4.8,Low,1
Iceland,7.6,High,3
Ireland,7.0,High,3
Italy,5.9,Medium,2
Japan,6.1,Medium,2
Korea,6.0,Medium,2
Luxembourg,6.9,Medium,2
Mexico,6.8,Medium,2
Netherlands,7.3,High,3
New Zealand,7.3,High,3
Norway,7.6,High,3
Poland,5.8,Medium,2
Portugal,5.1,Medium,2
Slovak Republic,6.2,Medium,2
Spain,6.5,Medium,2
Sweden,7.2,High,3
Switzerland,7.5,High,3
Turkey,5.8,Medium,2
United Kingdom,6.8,Medium,2
United States,7.2,High,3
Brazil,7.0,High,3
Chile,6.8,Medium,2
Estonia,5.6,Medium,2
Israel,7.3,High,3
Russia,6.0,Medium,2
Slovenia,5.6,Medium,2
OECD - Total,6.6,Medium,2
Australia,7.4,High,3
Austria,7.6,High,3
Belgium,7.2,High,3
Canada,7.6,High,3
Czech Republic,7.2,High,3
Denmark,7.7,High,3
Finland,7.9,High,3
France,7.2,High,3
Germany,7.4,High,3
Greece,5.9,Medium,2
Hungary,6.1,Medium,2
Iceland,7.8,High,3
Ireland,7.2,High,3
Italy,6.6,Medium,2
Japan,6.3,Medium,2
Korea,6.3,Medium,2
Luxembourg,7.4,High,3
Mexico,7.7,High,3
Netherlands,7.6,High,3
New Zealand,7.5,High,3
Norway,7.7,High,3
Poland,6.7,Medium,2
Portugal,6.2,Medium,2
Slovak Republic,6.8,Medium,2
Spain,7.1,High,3
Sweden,7.5,High,3
Switzerland,7.8,High,3
Turkey,6.1,Medium,2
United Kingdom,7.1,High,3
United States,7.5,High,3
Chile,7.7,High,3
Estonia,6.1,Medium,2
Israel,7.5,High,3
Russia,6.3,Medium,2
Slovenia,0.0,Low,1
OECD - Total,7.0,High,3
Australia,7.2,High,3
Austria,6.9,Medium,2
Canada,6.9,Medium,2
Czech Republic,6.3,Medium,2
Finland,7.0,High,3
France,6.4,Medium,2
Germany,6.6,Medium,2
Greece,3.5,Low,1
Hungary,4.5,Low,1
Iceland,7.4,High,3
Ireland,6.8,Medium,2
Italy,5.7,Medium,2
Japan,5.6,Medium,2
Korea,5.0,Medium,2
Luxembourg,6.6,Medium,2
Mexico,6.1,Medium,2
New Zealand,7.1,High,3
Norway,7.3,High,3
Poland,4.8,Low,1
Portugal,4.5,Low,1
Slovak Republic,5.7,Medium,2
Spain,6.1,Medium,2
Sweden,7.0,High,3
Switzerland,7.2,High,3
Turkey,5.3,Medium,2
United Kingdom,6.3,Medium,2
Brazil,6.7,Medium,2
Chile,6.0,Medium,2
Estonia,5.1,Medium,2
Russia,5.4,Medium,2
Slovenia,5.0,Medium,2
OECD - Total,5.9,Medium,2
